TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2]
558999,12.4,2.3,171,-0.004,0
559999,12.4,2.2,167,-0.004,0
560999,12.4,2.1,167,-0.004,0
562000,12.4,2.1,159,-0.004,0
563000,12.4,2,161,-0.004,0
563999,12.4,2.1,161,-0.004,0
565000,12.4,2.2,162,-0.004,0
565999,12.4,2.2,165,-0.004,0
567000,12.4,2.1,165,-0.004,0
567999,12.4,2,162,-0.004,0
569000,12.4,2.1,163,-0.004,0
570000,12.4,2.2,163,-0.004,0
570999,12.4,2.2,163,-0.004,0
572000,12.4,2.2,163,-0.004,0
572999,12.4,2.2,163,-0.004,0
574001,12.4,2.2,163,-0.004,0
575000,12.4,2.3,162,-0.004,0
576000,12.4,2.4,161,-0.004,0
577001,12.4,2.4,160,-0.004,0
577999,12.4,2.1,161,-0.004,0
579001,12.4,2.1,148,-0.004,0
579999,12.4,2.3,149,-0.004,0
581000,12.4,2.4,150,-0.004,0
582000,12.4,2.5,152,-0.004,0
583000,12.4,2.3,152,-0.004,0
584001,12.4,2.3,151,-0.004,0
585000,12.4,2.1,148,-0.004,0
585999,12.4,2.3,152,-0.004,0
587000,12.4,2.3,152,-0.004,0
588000,12.4,2.3,160,-0.004,0
589004,12.4,2.3,177,-0.004,0
590000,12.4,2.4,168,-0.004,0
590999,12.4,2.3,167,-0.004,0
592000,12.4,2.4,161,-0.004,-0.002
592999,12.4,2.7,158,-0.004,0
593999,12.4,2.9,159,-0.004,0
595000,12.4,2.9,158,-0.004,0
596000,12.4,2.7,154,-0.004,0
596999,12.4,2.5,155,-0.004,0
598000,12.4,2.5,173,-0.004,0
598999,12.4,2.6,165,-0.004,0
599999,12.4,2.5,162,-0.004,0
601000,12.4,3.1,164,-0.004,0
602000,12.4,3.6,164,-0.004,0
603000,12.4,3.1,163,-0.004,0
603999,12.4,2.9,168,-0.004,0
604999,12.4,2.9,173,-0.004,0
605999,12.4,2.8,173,-0.004,0
607000,12.4,2.4,173,-0.004,0
608000,12.4,2.3,172,-0.004,0
609000,12.4,2.3,169,-0.004,0
610000,12.4,2.3,166,-0.004,0
610999,12.4,2.5,159,-0.004,-0.002
612000,12.4,2.5,145,-0.004,0
612999,12.4,2.7,145,-0.004,0
613999,12.4,3.1,146,-0.004,0
615000,12.4,2.7,152,-0.004,0
615999,12.4,2.8,164,-0.004,0
617000,12.4,3,165,-0.004,-0.002
617999,12.4,2.9,167,-0.004,0
618999,12.4,2.6,167,-0.004,0
619999,12.4,2.5,163,-0.004,0
622000,12.4,2.4,159,-0.004,0
623000,12.4,2.3,169,-0.004,0
623999,12.4,2.2,164,-0.004,0
624999,12.4,2.1,158,-0.004,0
625999,12.4,2.8,170,-0.004,0
626999,12.4,2.9,171,-0.004,0
627999,12.4,2.8,167,-0.004,0
629000,12.4,2.6,169,-0.004,0
629999,12.4,2.5,170,-0.004,0
630999,12.4,2.5,154,-0.004,0
632000,12.4,2.4,156,-0.004,0
632999,12.4,2.5,156,-0.004,0
634000,12.4,2.7,161,-0.004,0
635000,12.4,2.6,160,-0.004,-0.002
636000,12.4,2.5,162,-0.004,0
637000,12.4,2.7,161,-0.004,0
638000,12.4,2.7,174,-0.004,-0.002
638999,12.4,2.7,168,-0.004,0
640000,12.4,2.7,161,-0.004,0
641000,12.4,2.7,160,-0.004,0
642000,12.4,2.9,160,-0.004,-0.002
643000,12.4,2.8,160,-0.004,0
644001,12.4,2.9,160,-0.004,0
644999,12.4,2.8,159,-0.004,0
645999,12.4,2.9,147,-0.004,0
647000,12.4,2.9,149,-0.004,0
648000,12.4,2.7,150,-0.004,0
648999,12.4,2.5,148,-0.004,0
649999,12.4,2.6,151,-0.004,0
651000,12.4,2.8,155,-0.004,0
651999,12.4,2.8,154,-0.004,0
653000,12.4,2.7,144,-0.004,0
654000,12.4,2.7,154,-0.004,0
654999,12.4,2.6,151,-0.004,0
656000,12.4,2.5,148,-0.004,0
657001,12.4,2.4,147,-0.004,0
658001,12.4,2.3,152,-0.004,0
658999,12.4,2.5,152,-0.004,0
659999,12.4,2.8,156,-0.004,0
660999,12.4,2.8,159,-0.004,-0.002
662000,12.4,2.6,157,-0.004,0
663000,12.4,2.4,173,-0.004,0
664001,12.4,2.5,173,-0.004,0
664999,12.4,2.5,161,-0.004,0
666000,12.4,2.7,160,-0.004,0
667000,12.4,2.9,161,-0.004,0
667999,12.4,2.7,166,-0.004,0
669001,12.4,2.5,170,-0.004,0
669999,12.4,2.4,162,-0.004,0
670999,12.4,2.3,161,-0.004,0
672000,12.4,2.3,159,-0.004,0
673000,12.4,2.3,155,-0.004,-0.002
674000,12.4,2.3,158,-0.004,0
676000,12.4,3,159,-0.004,0
